customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,,,No,,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,22.47460277648011,12.466841134673164,No
5575-GNVDE,Male,,No,,,,,DSL,Yes,No,Yes,No,,No,One year,No,Mailed check,22.628422519188916,1888.0817848900574,No
3668-QPYBK,,0.0,No,,23.416613498006924,Yes,No,DSL,Yes,,No,No,No,No,Month-to-month,,,38.07630484516451,,Yes
7795-CFOCW,Male,,No,No,30.131503751027047,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),,1840.71992235477,No
9237-HQITU,Female,0.0,No,No,-11.165283230377131,,No,Fiber optic,No,No,,,No,No,Month-to-month,,Electronic check,58.64874665119813,173.91335782478484,Yes
9305-CDSKC,Female,0.0,No,No,,Yes,Yes,,No,No,,No,Yes,Yes,Month-to-month,Yes,Electronic check,123.91878958473113,,Yes
1452-KIOVK,Male,0.0,No,Yes,45.64965735203177,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),87.24233230216036,1986.2190863072153,No
6713-OKOMC,Female,0.0,,No,-3.2265361428759114,,,DSL,Yes,,No,,No,No,Month-to-month,No,Mailed check,28.849150434441924,292.5477271922495,No
7892-POOKP,Female,0.0,Yes,,22.565149512820454,Yes,Yes,Fiber optic,No,No,Yes,,,Yes,,Yes,Electronic check,84.86748728694454,3031.3850552359904,Yes
6388-TABGU,Male,,,,56.738039348611544,,,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),78.37271282403256,,No
9763-GRSKD,Male,0.0,,Yes,-14.754352889094683,Yes,No,DSL,,No,No,No,,No,Month-to-month,,Mailed check,,553.2885278289183,No
7469-LKBCI,Male,0.0,No,No,,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),47.037330525263954,314.11537074836787,No
8091-TTVAX,Male,0.0,Yes,No,,,Yes,,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),112.3596197740185,5678.131269395325,No
0280-XJGEX,Male,0.0,No,No,56.461610054681,Yes,Yes,,No,Yes,Yes,No,Yes,,,,Bank transfer (automatic),110.5223207953961,,Yes
5129-JLPIS,Male,0.0,No,No,34.79123360690767,Yes,,Fiber optic,Yes,No,Yes,Yes,Yes,,Month-to-month,Yes,Electronic check,103.27206309360305,,No
3655-SNQYZ,,0.0,Yes,,71.3223229056561,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,No,Credit card (automatic),98.89520970456995,7873.059756604948,No
8191-XWSZG,Female,0.0,No,No,41.59104096934756,Yes,No,No,,No,No internet service,No internet service,No internet service,,One year,No,Mailed check,6.073455618577523,1026.7011919884037,No
9959-WOFKT,,,No,Yes,66.92999090269691,Yes,Yes,Fiber optic,Yes,,,,Yes,Yes,Two year,No,Bank transfer (automatic),129.7302895760266,7395.6640214620265,No
4190-MFLUW,Female,0.0,,Yes,16.490671870849724,Yes,No,DSL,No,No,,,No,No,Month-to-month,,Credit card (automatic),57.422113804095254,538.7554638222732,Yes
4183-MYFRB,Female,0.0,No,No,26.023815853211868,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,,Yes,Electronic check,,1843.0780243462293,No
8779-QRDMV,,1.0,No,No,-7.814022509436345,No,No,,No,No,Yes,,No,,Month-to-month,,Electronic check,,63.770350022711554,Yes
1680-VDCWW,Male,0.0,Yes,No,17.661073787633512,Yes,,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,No,,,,No
1066-JKSGK,Male,0.0,No,No,,Yes,No,No,No internet service,No,No internet service,,No internet service,No internet service,Month-to-month,No,,,,Yes
3638-WEABW,Female,0.0,Yes,No,,,Yes,DSL,No,Yes,,,,,Two year,Yes,Credit card (automatic),56.35333066684911,3489.1666875802457,No
6322-HRPFA,Male,0.0,Yes,Yes,28.816435421188984,,,DSL,Yes,,No,,No,No,Month-to-month,No,,68.98300299847394,2967.7928798361795,No
6865-JZNKO,Female,0.0,No,No,,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.754803755920484,1540.6978145388023,No
6467-CHFZW,Male,,Yes,Yes,38.87335598406945,,,Fiber optic,No,,No,No,Yes,Yes,Month-to-month,Yes,,,4740.407181287292,Yes
8665-UTDHZ,,0.0,Yes,Yes,-0.8508733266531958,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,2.6954318806645716,26.393517982927456,Yes
5248-YGIJN,Male,,Yes,No,81.09272936767692,Yes,Yes,DSL,,Yes,Yes,Yes,Yes,Yes,,Yes,,85.41769700157094,6375.745571916578,No
8773-HHUOZ,Female,,No,Yes,23.225480543831534,Yes,No,DSL,No,,,No,,,Month-to-month,Yes,Mailed check,65.91204332447015,1089.6571274285523,Yes
3841-NFECX,Female,,Yes,No,,Yes,,,Yes,,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),72.93177777870275,6767.002896640232,No
4929-XIHVW,,1.0,Yes,No,-13.309584932517167,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,,,91.33614003581636,200.17535523621413,No
6827-IEAUQ,Female,0.0,Yes,Yes,30.226620246602877,,No,DSL,Yes,Yes,Yes,Yes,No,,,No,Mailed check,73.27975398688609,,No
7310-EGVHZ,Male,0.0,,No,2.116481445611394,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Month-to-month,,,19.640178073061627,17.875730186947973,No
3413-BMNZE,Male,1.0,No,No,8.937386357483994,Yes,No,,No,,No,No,No,No,Month-to-month,No,Bank transfer (automatic),,35.288490500979606,No
6234-RAAPL,Female,0.0,Yes,Yes,66.75763538046726,Yes,,Fiber optic,Yes,Yes,No,Yes,Yes,,Two year,No,Bank transfer (automatic),99.27189053514955,7275.782134383825,No
6047-YHPVI,Male,0.0,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.831118889008465,311.48083403936835,Yes
6572-ADKRS,Female,0.0,,No,47.249078666730185,Yes,No,,No,No,,No,No,No,Month-to-month,Yes,Credit card (automatic),76.44558610512587,3555.7332896175826,No
5380-WJKOV,Male,,No,No,39.341395713994736,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.74136254250203,3547.2380171242453,Yes
8168-UQWWF,,0.0,No,No,18.383382157586478,Yes,Yes,,No,,Yes,No,Yes,,Month-to-month,Yes,Bank transfer (automatic),101.3439341551146,,Yes
8865-TNMNX,Male,0.0,,Yes,3.023837087975382,Yes,,,No,Yes,No,No,No,No,One year,No,,23.05010818279578,461.9554308368959,No
9489-DEDVP,Female,0.0,Yes,Yes,48.197818276860716,Yes,Yes,DSL,Yes,Yes,,No,Yes,No,Two year,Yes,,62.995090421551964,4866.119918559031,No
9867-JCZSP,Female,0.0,Yes,Yes,17.614285135816722,Yes,No,,No internet service,,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,,438.2446692787026,No
4671-VJLCL,,0.0,No,No,51.15539915656061,,Yes,DSL,Yes,,Yes,,Yes,No,Two year,Yes,,63.33945593084029,4863.353976374983,No
4080-IIARD,Female,,,No,2.5865426332713515,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,,Yes,Electronic check,88.32655726849337,974.1489165223114,No
3714-NTNFO,Female,,No,No,27.423881873668293,Yes,Yes,Fiber optic,No,No,No,,No,,,Yes,Electronic check,64.17792377751155,3904.6103595207073,No
5948-UJZLF,,,No,No,,Yes,No,,No,Yes,No,No,No,,Month-to-month,No,Mailed check,46.36303126124619,95.26722332994613,No
7760-OYPDY,,0.0,No,No,-6.177152110817579,Yes,No,Fiber optic,No,,No,,Yes,,Month-to-month,Yes,Electronic check,80.34792770872089,137.90403974891456,Yes
7639-LIAYI,,0.0,No,No,,Yes,Yes,DSL,Yes,,No,Yes,Yes,,Two year,Yes,,75.75650337293511,,No
2954-PIBKO,Female,0.0,Yes,Yes,70.28576773898311,Yes,Yes,,Yes,No,,,No,No,Two year,,Credit card (automatic),42.294295707224904,4256.407872667006,No
8012-SOUDQ,Female,,,,40.11620298188052,Yes,,Fiber optic,No,,No,,Yes,No,Month-to-month,Yes,Electronic check,101.04441493113066,3853.5236788109028,No
9420-LOJKX,,0.0,No,,33.847852075301574,Yes,No,,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,,111.93459154154974,1423.5070479561048,Yes
6575-SUVOI,Female,1.0,Yes,No,24.242307073026634,Yes,,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),61.62767935918944,,No
7495-OOKFY,Female,1.0,,,-14.07899222719394,Yes,Yes,,No,Yes,No,No,No,No,Month-to-month,Yes,,76.28147075213778,637.6816379015836,Yes
4667-QONEA,Female,,,Yes,,Yes,No,DSL,,Yes,Yes,Yes,No,Yes,One year,,Credit card (automatic),59.80594410384264,4468.02439909019,No
1658-BYGOY,Male,1.0,No,No,23.409372765723948,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,108.5463791291669,1731.0450668822048,Yes
8769-KKTPH,,0.0,,Yes,51.23771612460923,,Yes,,Yes,No,No,No,Yes,Yes,,,,105.00898130736866,6286.3138911429405,No
5067-XJQFU,,1.0,Yes,Yes,81.7614478909599,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,,One year,Yes,Electronic check,,7078.547954268357,No
3957-SQXML,Female,0.0,,Yes,36.43675762828008,Yes,Yes,No,No internet service,No,,No internet service,,No internet service,Two year,No,Credit card (automatic),39.6140927331965,,No
5954-BDFSG,Female,0.0,No,No,,,Yes,,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.17686246511005,,No
